Periodo,Anio,MesNumero,MesNombre,AnioMes,Trimestre
2020-01-01,2020,1,Enero,2020-01,T1
2020-02-01,2020,2,Febrero,2020-02,T1
2020-03-01,2020,3,Marzo,2020-03,T1
2020-04-01,2020,4,Abril,2020-04,T2
2020-05-01,2020,5,Mayo,2020-05,T2
2020-06-01,2020,6,Junio,2020-06,T2
2020-07-01,2020,7,Julio,2020-07,T3
2020-08-01,2020,8,Agosto,2020-08,T3
2020-09-01,2020,9,Septiembre,2020-09,T3
2020-10-01,2020,10,Octubre,2020-10,T4
2020-11-01,2020,11,Noviembre,2020-11,T4
2020-12-01,2020,12,Diciembre,2020-12,T4
2021-01-01,2021,1,Enero,2021-01,T1
2021-02-01,2021,2,Febrero,2021-02,T1
2021-03-01,2021,3,Marzo,2021-03,T1
2021-04-01,2021,4,Abril,2021-04,T2
2021-05-01,2021,5,Mayo,2021-05,T2
2021-06-01,2021,6,Junio,2021-06,T2
2021-07-01,2021,7,Julio,2021-07,T3
2021-08-01,2021,8,Agosto,2021-08,T3
2021-09-01,2021,9,Septiembre,2021-09,T3
2021-10-01,2021,10,Octubre,2021-10,T4
2021-11-01,2021,11,Noviembre,2021-11,T4
2021-12-01,2021,12,Diciembre,2021-12,T4
2022-01-01,2022,1,Enero,2022-01,T1
2022-02-01,2022,2,Febrero,2022-02,T1
2022-03-01,2022,3,Marzo,2022-03,T1
2022-04-01,2022,4,Abril,2022-04,T2
2022-05-01,2022,5,Mayo,2022-05,T2
2022-06-01,2022,6,Junio,2022-06,T2
2022-07-01,2022,7,Julio,2022-07,T3
2022-08-01,2022,8,Agosto,2022-08,T3
2022-09-01,2022,9,Septiembre,2022-09,T3
2022-10-01,2022,10,Octubre,2022-10,T4
2022-11-01,2022,11,Noviembre,2022-11,T4
2022-12-01,2022,12,Diciembre,2022-12,T4
2023-01-01,2023,1,Enero,2023-01,T1
2023-02-01,2023,2,Febrero,2023-02,T1
2023-03-01,2023,3,Marzo,2023-03,T1
2023-04-01,2023,4,Abril,2023-04,T2
2023-05-01,2023,5,Mayo,2023-05,T2
2023-06-01,2023,6,Junio,2023-06,T2
2023-07-01,2023,7,Julio,2023-07,T3
2023-08-01,2023,8,Agosto,2023-08,T3
2023-09-01,2023,9,Septiembre,2023-09,T3
2023-10-01,2023,10,Octubre,2023-10,T4
2023-11-01,2023,11,Noviembre,2023-11,T4
2023-12-01,2023,12,Diciembre,2023-12,T4
2024-01-01,2024,1,Enero,2024-01,T1
2024-02-01,2024,2,Febrero,2024-02,T1
2024-03-01,2024,3,Marzo,2024-03,T1
2024-04-01,2024,4,Abril,2024-04,T2
2024-05-01,2024,5,Mayo,2024-05,T2
2024-06-01,2024,6,Junio,2024-06,T2
2024-07-01,2024,7,Julio,2024-07,T3
2024-08-01,2024,8,Agosto,2024-08,T3
2024-09-01,2024,9,Septiembre,2024-09,T3
2024-10-01,2024,10,Octubre,2024-10,T4
2024-11-01,2024,11,Noviembre,2024-11,T4
2024-12-01,2024,12,Diciembre,2024-12,T4
2025-01-01,2025,1,Enero,2025-01,T1
2025-02-01,2025,2,Febrero,2025-02,T1
2025-03-01,2025,3,Marzo,2025-03,T1
2025-04-01,2025,4,Abril,2025-04,T2
2025-05-01,2025,5,Mayo,2025-05,T2
2025-06-01,2025,6,Junio,2025-06,T2
2025-07-01,2025,7,Julio,2025-07,T3
2025-08-01,2025,8,Agosto,2025-08,T3
2025-09-01,2025,9,Septiembre,2025-09,T3
2025-10-01,2025,10,Octubre,2025-10,T4
2025-11-01,2025,11,Noviembre,2025-11,T4
2025-12-01,2025,12,Diciembre,2025-12,T4
2026-01-01,2026,1,Enero,2026-01,T1
2026-02-01,2026,2,Febrero,2026-02,T1
2026-03-01,2026,3,Marzo,2026-03,T1
2026-04-01,2026,4,Abril,2026-04,T2
2026-05-01,2026,5,Mayo,2026-05,T2
2026-06-01,2026,6,Junio,2026-06,T2
